,Total Demand,Change in Demand,Price Surge,Minimum Temperature (Â°C),Maximum Temperature (Â°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of Maximum Wind Gust (km/h),9am Temperature (Â°C),9am Relative Humidity (%),9am Cloud Amount (oktas),9am Wind Speed (km/h),3pm Temperature (Â°C),3pm Relative Humidity (%),3pm Cloud Amount (oktas),3pm Wind Speed (km/h)
Total Demand,1.0,0.27062975536288125,0.013472503320442142,0.05932261837704564,0.102458456835959,0.0033815754960678465,0.05301110016725497,0.02150491422324568,0.015186239315133975,0.09981908938943322,0.026544877740612843,0.0032190442447441003,0.009341533734224606,0.07110145517885443,0.008378449604559917,0.008967677114657902,0.04523624137581879
Change in Demand,0.27062975536288125,1.0,0.004999440925247899,0.04389953066055965,0.05069745135690012,0.002789535817109522,0.027595618798976432,0.03453233773401078,0.0037886315292028137,0.03960844112525423,0.028312944876483767,0.014323898666662505,0.007634795579050611,0.03343175011394052,0.01052199611560393,0.020522077140387007,0.018669765651182373
Price Surge,0.013472503320442142,0.004999440925247899,1.0,0.004747877895814023,0.005001115702457523,0.009658348778230498,0.005686045429798702,0.004935102657601376,0.013959262564636872,0.004999440925247899,0.012860782746700104,0.007395292151074176,0.007025443535912913,0.004876654145262438,0.013873989953473768,0.005022009134337401,0.016359055253157825
Minimum Temperature (Â°C),0.05932261837704564,0.04389953066055965,0.004747877895814023,1.0,0.24334111092452448,0.03397035876432982,0.15348116074406573,0.013216034907741446,0.01200912385623597,0.42171919344463177,0.041831192917507434,0.019132707927296214,0.010155419383503983,0.20581921783476845,0.0012658899656713698,0.007539649341515527,0.004575771471017113
Maximum Temperature (Â°C),0.102458456835959,0.05069745135690012,0.005001115702457523,0.24334111092452448,1.0,0.10788826528068132,0.16194658823520933,0.08459655358005293,0.0011760796959796277,0.37331026715492394,0.03472152383950148,0.010863314144329901,0.013364351294242845,0.670518464693468,0.056626755717246596,0.03859321675994269,0.008688654836225126
Rainfall (mm),0.0033815754960678465,0.002789535817109522,0.009658348778230498,0.03397035876432982,0.10788826528068132,1.0,0.02431060910666158,0.037663556563988,0.002636712796707332,0.06332343896085219,0.047289441758090404,0.01714703455819629,0.007146088097653341,0.08736179561901898,0.03902088815481373,0.04123220389689643,0.0022282950433084947
Evaporation (mm),0.05301110016725497,0.027595618798976432,0.005686045429798702,0.15348116074406573,0.16194658823520933,0.02431060910666158,1.0,0.03333362697167558,0.021258450595926723,0.1666473810807404,0.08156722986693388,0.019510596646606707,0.004499143509344967,0.13059081098012468,0.042091884982379923,0.008577346740590122,0.006475908607977978
Sunshine (hours),0.02150491422324568,0.03453233773401078,0.004935102657601376,0.013216034907741446,0.08459655358005293,0.037663556563988,0.03333362697167558,1.0,0.007731844089143062,0.016142961605863735,0.040075939812846136,0.23009843760285265,0.0038164297921853725,0.08353622239636391,0.10611700072622125,0.27502073128374943,0.0020081547727016993
Speed of Maximum Wind Gust (km/h),0.015186239315133975,0.0037886315292028137,0.013959262564636872,0.01200912385623597,0.0011760796959796277,0.002636712796707332,0.021258450595926723,0.007731844089143062,1.0,0.01301187784948285,0.05799635893198161,0.008611172664438957,0.11404702364244569,0.0028790361787649566,0.01981815055714949,0.01090651053209342,0.15264496262480104
9am Temperature (Â°C),0.09981908938943322,0.03960844112525423,0.004999440925247899,0.42171919344463177,0.37331026715492394,0.06332343896085219,0.1666473810807404,0.016142961605863735,0.01301187784948285,1.0,0.05596285573316469,0.0056569805341833,0.021216553230000133,0.31589829455565777,0.015289124678357623,0.012424122907581487,0.01256738903456451
9am Relative Humidity (%),0.026544877740612843,0.028312944876483767,0.012860782746700104,0.041831192917507434,0.03472152383950148,0.047289441758090404,0.08156722986693388,0.040075939812846136,0.05799635893198161,0.05596285573316469,1.0,0.0197482208625656,0.043539958456771756,0.023410418529579452,0.07180766049500993,0.013568643308435782,0.020896340933536622
9am Cloud Amount (oktas),0.0032190442447441003,0.014323898666662505,0.007395292151074176,0.019132707927296214,0.010863314144329901,0.01714703455819629,0.019510596646606707,0.23009843760285265,0.008611172664438957,0.0056569805341833,0.0197482208625656,1.0,0.010317147944640568,0.014247944732715399,0.08748830218927145,0.11515782733809586,0.005271355650431201
